KV_SIZE,SWAPS,THREADS,ITERATIONS,VARIATION,TIME,COMMITS,ABORTS,FALLBACKS
1000,100,1,2000,2,2000,0,0,1
1000,250,1,2000,2,2000,0,0,8
1000,500,1,2000,2,2000,0,0,14
1000,100,2,2000,2,2289,0,1711,39190
1000,250,2,2000,2,3965,0,35,778
1000,500,2,2000,2,3767,0,233,23536
1000,100,14,2000,2,26159,0,1841,46262
1000,250,14,2000,2,25687,0,2313,81138
1000,500,14,2000,2,27434,0,566,60732
1000,100,28,2000,2,49618,0,6382,172893
1000,250,28,2000,2,49995,0,6005,226168
1000,500,28,2000,2,53871,0,2129,169046
1000,100,56,2000,2,90716,0,21284,612358
1000,250,56,2000,2,96510,0,15490,504949
1000,500,56,2000,2,104075,0,7925,434604
1000,100,112,2000,2,173912,0,50088,1488738
1000,250,112,2000,2,191666,0,32334,1104649
1000,500,112,2000,2,209363,0,14637,874879
