KV_SIZE,THREADS,ITERATIONS,VARIATION,TIME,COMMITS,ABORTS,FALLBACKS
1000,1,500000,4,0.0,50000,18,0
1000,1,100000,4,0.0,100000,37,0
1000,1,200000,4,0.01,200000,66,0
1000,1,400000,4,0.02,400000,231,0
1000,2,500000,4,0.03,74699,167051,25301
1000,2,100000,4,0.1,134144,337510,65856
1000,2,200000,4,0.16,270083,703577,129917
1000,2,400000,4,0.3,522487,1456531,277513
1000,14,500000,4,0.39,334389,2023827,365611
1000,14,100000,4,0.6,756717,3842087,643283
1000,14,200000,4,1.53,1393856,8165846,1406144
1000,14,400000,4,2.39,2772373,16406706,2827627
1000,28,500000,4,0.8,743506,3861369,656494
1000,28,100000,4,1.34,1237250,8451216,1562750
1000,28,200000,4,2.39,1932862,19203560,3667138
1000,28,400000,4,4.46,3908027,38319270,7291973
1000,56,500000,4,1.42,1362965,8024351,1437035
1000,56,100000,4,2.73,2499756,16931876,3100244
1000,56,200000,4,5.76,5043354,33706098,6156646
1000,56,400000,4,11.3,11383641,62082836,11016359
1000,112,500000,4,3.34,3226246,14616320,2373754
1000,112,100000,4,6.9,6733844,27922196,4466156
1000,112,200000,4,13.33,12819701,59185819,9580299
1000,112,400000,4,26.9,25723410,117622372,19076590
